year,pdf_url,source_url,domain,score,status,file_path
2023,https://www.selfstudys.com/sitepdfs/GdKyjWMLH4GQgrSqt4ZB,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-e2/1043935,www.selfstudys.com,129,exists,data\neet_papers\papers\neet_2023_02_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/F5cvwfTHSmZrRoDpH1s1,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-e3/1043934,www.selfstudys.com,129,exists,data\neet_papers\papers\neet_2023_03_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/Y646hP0L0EfWRn44HSWx,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-e4/1043933,www.selfstudys.com,129,exists,data\neet_papers\papers\neet_2023_04_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/Ros5dqx4cMAnrpcHklVT,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-e5/1043932,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_05_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/xVZxRsE7vHMnEgYcQxnI,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-e6/1043931,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_06_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/QQ9oXueUN48zH5qeUKhi,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-f1/1043918,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_07_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/PxNVRtjB7nFzJkkesP6l,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-f2/1043915,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_08_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/UarXmIbU3wBauIP1feFQ,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-f3/1043913,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_09_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/VSkKLqYdMesALyZPRGrd,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-f4/1043912,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_10_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/v7PyyMcPdbNbLoYZq4rg,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-f5/1043910,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_11_selfstudys.com.pdf
2023,https://www.selfstudys.com/sitepdfs/V71BrTbudgSDzV4antrs,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2023/neet-2023-question-paper-code-g1/1043930,www.selfstudys.com,129,ok,data\neet_papers\papers\neet_2023_12_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/iy1UvjPI0zobq8wjk5i0,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q1-paper-2024/1096407,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2024_01_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/cmP3I2ToXToE927BnXqr,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q2-paper-2024/1096406,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2024_02_selfstudys.com.pdf
